Status,Replacement Status,Item Name,SKU,REPLACE_WITH,Old,Simple Name,Child Name
OLD,Substitute Sku,"Taco Tuesday Seasoning (Double Pack), Taco Spices, Low Salt Taco Seasoning, Low Sodium Taco Seasonings, Gluten Free Taco Mix, Sugar Free Taco Seasoning by Flavor God (Flavorgod)",DBLPK-TCOTUES,DBLPK-TCOTUES,DBLPK-TCOTUES,OLD - Double Pack - Taco Tuesday,OLD - Taco Tuesday Seasoning
OLD,Substitute Sku,Steak & Chop Rub (Double Pack),DBLPK-STKCHP,DBLPK-STKCHP,DBLPK-STKCHP,OLD - Double Pack - Steak & Chop Rub,OLD - Steak & Chop Rub
OLD,Substitute Sku,Sriracha Seasoning (Double Pack),DBLPK-SRCHA,DBLPK-SRCHA,DBLPK-SRCHA,OLD - Double Pack - Sriracha,OLD - Sriracha Seasoning
OLD,Substitute Sku,Original BBQ Rub (Double Pack),DBLPK-RUB-BBQ,DBLPK-RUB-BBQ,DBLPK-RUB-BBQ,OLD - Double Pack - Original BBQ Rub,OLD - BBQ Rub
OLD,Substitute Sku,Ketchup Seasoning (Double Pack),DBLPK-KTCHP,DBLPK-KTCHP,DBLPK-KTCHP,OLD - Double Pack - Ketchup,OLD - Ketchup Seasoning
OLD,Substitute Sku,Jamaican Jerk Rub (Double Pack),DBLPK-JMJRK,DBLPK-JMJRK,DBLPK-JMJRK,OLD - Double Pack - Jamaican Jerk,OLD - Jamaican Jerk Seasoning
OLD,Substitute Sku,Italian Zest Seasoning (Double Pack),DBLPK-ITLZST,DBLPK-ITLZST,DBLPK-ITLZST,OLD - Double Pack - Italian Zest,OLD - Italian Zest Seasoning
OLD,Substitute Sku,Hot Wings Seasoning (Double Pack),DBLPK-HTWNGS,DBLPK-HTWNGS,DBLPK-HTWNGS,OLD - Double Pack - Hot Wings,OLD - Hot Wings Seasoning
OLD,Substitute Sku,Garlic Lovers Seasoning (Double Pack),DBLPK-GRLCLVRS,DBLPK-GRLCLVRS,DBLPK-GRLCLVRS,OLD - Double Pack - Garlic Lovers,OLD - Garlic Lover's Seasoning
OLD,Substitute Sku,"Garlic Himalayan Salt Seasoning (Double Pack) by Flavor God, Himalayan Salt, Healthy, Garlic Black Pepper, Herb Spices, Sage, Thyme, Kosher, Non-GMO",DBLPK-GRLCHIMSLT,DBLPK-GRLCHIMSLT,DBLPK-GRLCHIMSLT,OLD - Double Pack - Garlic Herb & Himalayan Salt,OLD - Garlic Herb & Himalayan Salt Seasoning
OLD,Substitute Sku,Ghost Seasoning (Double Pack),DBLPK-GHST,DBLPK-GHST,DBLPK-GHST,OLD - Double Pack - Ghost,OLD - Ghost Seasoning
OLD,Substitute Sku,Gingerbread Cookie Topper (Double Pack),DBLPK-GBC,DBLPK-GBC,DBLPK-GBC,OLD - Double Pack - Gingerbread Cookie,OLD - Gingerbread Cookie
OLD,Substitute Sku,Everything Spicy Seasoning (Double Pack),DBLPK-EVRYSPCY,DBLPK-EVRYSPCY,DBLPK-EVRYSPCY,OLD - Double Pack - Everything Spicy,OLD - Spicy Everything Seasoning
OLD,Substitute Sku,Everything Seasoning (Double Pack),DBLPK-EVRTNG,DBLPK-EVRTNG,DBLPK-EVRTNG,OLD - Double Pack - Everything,OLD - Everything Seasoning
OLD,Substitute Sku,"No Salt Seasoning, Everything but the Salt Seasoning (Double Pack) by Flavor God, No Sodium, Natural, Garlic, Chili & Black Pepper, Salt Substitute, Salt Free, Spices with Flavor, Low Sodium Vegan",DBLPK-EBTS,DBLPK-EBTS,DBLPK-EBTS,OLD - Double Pack - Everything but the Salt,OLD - Everything But The Salt
OLD,Substitute Sku,Cajun Lovers Seasoning (Double Pack),DBLPK-CJNLVRS,DBLPK-CJNLVRS,DBLPK-CJNLVRS,OLD - Double Pack - Cajun Lovers,OLD - Cajun Lovers Seasoning
OLD,Substitute Sku,Cheese Seasoning (Double Pack),DBLPK-CHS,DBLPK-CHS,DBLPK-CHS,OLD - Double Pack - Cheese,OLD - Cheese Seasoning
OLD,Substitute Sku,Chipotle Seasoning (Double Pack),DBLPK-CHPTL,DBLPK-CHPTL,DBLPK-CHPTL,OLD - Double Pack - Chipotle,OLD - Chipotle Seasoning
OLD,Substitute Sku,Buttery Cinnamon Roll Topper (Double Pack),DBLPK-BTRCNMRL,DBLPK-BTRCNMRL,DBLPK-BTRCNMRL,OLD - Double Pack - Buttery Cinnamon Roll,OLD - Buttery Cinnamon Roll
OLD,Substitute Sku,Buffalo Seasoning (Double Pack),DBLPK-BFLO,DBLPK-BFLO,DBLPK-BFLO,OLD - Double Pack - Buffalo,OLD - Buffalo Seasoning
OLD,Substitute Sku,Bacon Lovers Seasoning (Double Pack),DBLPK-BCN,DBLPK-BCN,DBLPK-BCN,OLD - Double Pack - Bacon Lovers,OLD - Bacon Lovers Seasoning
OLD,Need,"Startup Chef Spice Combo Pack of 7 by Flavor God - Herb, Spice and Seasoning Gift Set - Low Sodium",STRTCHFSPCRK-7,,Need,OLD - Startup Chef Spice Rack,OLD - Everything Seasoning
OLD,Need,Party Combo Pack (3 Set),TPP-PTTR,,Need,OLD - 3 Bottle - The Party Pack,OLD - Pizza Seasoning
OLD,Need,Buttery Cinnamon Roll Topper (Triple Pack),TRPPK-BTRCNMRL,,Need,OLD - Buttery Cinnamon Roll Triple Pack,OLD - Buttery Cinnamon Roll
OLD,Need,Vegan Lovers Combo Pack (3 Set),VEG-IZ-TT-CL,,Need,OLD - Vegan Lovers Combo,OLD - Italian Zest Seasoning
OLD,Need,Wings Combo Pack (4 Set),WNGS-PCK-3,,Need,OLD - Wings Seasoning Pack,OLD - Hot Wings Seasoning
